Class,Feature,B (β),SE,Wald χ²,p-value,CI Lower (95%),CI Upper (95%)
Progressive house,Dissonance,-0.6006372425588573,0.12916321535747277,21.62453706496049,3.3158268689101176e-06,-0.853797144659504,-0.34747734045821066
Progressive house,Dynamic complexity,0.3095251736867603,0.13457835017598707,5.289828013089135,0.02145033836021994,0.04575160734182565,0.5732987400316949
Progressive house,Pitch salience,0.04948663517047875,0.24970435605799793,0.03927567095497,0.8429035270868552,-0.4399339027031972,0.5389071730441547
Progressive house,Spectral centroid,0.02772047498695533,0.09065370110598665,0.09350401418995179,0.7597689128572291,-0.14996077918077852,0.20540172915468916
Progressive house,Spectral complexity,-1.4266126221338622,0.3064654464639001,21.669510114309713,3.2389878320445393e-06,-2.0272848972031063,-0.8259403470646179
Progressive house,Spectral decrease,0.25404863752770357,0.19535470296894822,1.6911650640924518,0.19344745927361856,-0.12884658029143492,0.6369438553468421
Progressive house,Spectral energyband high,-0.5220627764217811,0.9733889525262687,0.28765546647463996,0.5917268945694072,-2.429905123373268,1.3857795705297054
Progressive house,Spectral energyband low,-0.1191566776414964,0.17169017448903748,0.4816658845615133,0.4876687068125878,-0.45566941964000984,0.21735606435701704
Progressive house,Spectral energyband middle,0.545732695425657,0.9940258698777837,0.3014147997618864,0.5829968249185113,-1.4025580095347991,2.494023400386113
Progressive house,Spectral entropy,0.37604549391750924,0.31531302554995333,1.4223188126860702,0.23302211467934145,-0.24196803616039925,0.9940590239954177
Progressive house,Spectral kurtosis,0.08179460020552393,0.14041368082638936,0.33933637778750536,0.5602125278995819,-0.1934162142141992,0.35700541462524704
Progressive house,Spectral rolloff,0.2695678582814904,0.3132341461033554,0.7406244041578185,0.38946093260168735,-0.34437106808108625,0.883506784644067
Progressive house,Spectral skewness,0.10194974555600404,0.31589331243899166,0.10415771137766977,0.7468961412942186,-0.5172011468244196,0.7211006379364276
Progressive house,Spectral spread,-0.34774328529060883,0.22638554393933885,2.359500769571176,0.1245220333485101,-0.791458951411713,0.09597238083049531
