Class,Feature,B (β),SE,Wald χ²,p-value
Progressive house,Loudness,0.19095185693309474,0.5154353179399823,0.13724591452847473,0.7110344432681945
Progressive house,Dissonance,-0.5864348063967703,1.1070672023341044,0.2806024821714511,0.5963066002748522
Progressive house,Dynamic complexity,0.26584531032933645,1.1458769799958408,0.053824749516069144,0.8165367591776165
Progressive house,Pitch salience,0.301449926670653,3.963674271389023,0.005784082114494952,0.9393768104561973
Progressive house,Spectral centroid,-0.19038927709286366,1.241759012770387,0.023507710195943887,0.8781441606840178
Progressive house,Spectral complexity,-0.9082210372298254,3.1440473973858967,0.08344588894469847,0.7726808460544127
Progressive house,Spectral decrease,-0.36178151511357404,2.494367795957132,0.021036416691550566,0.8846797935350684
Progressive house,Spectral energyband high,-0.017512084043797962,5.62977395875604,9.675952996488027e-06,0.9975180888157582
Progressive house,Spectral energyband low,0.2661075290537577,2.1482591142345826,0.015344085106158324,0.9014172214716046
Progressive house,Spectral energyband middle,-0.023294081131216657,5.734334550524015,1.6501564219163395e-05,0.9967588328841394
Progressive house,Spectral entropy,-0.4874244727082961,3.7209253278532946,0.017159820944452734,0.8957788674390454
Progressive house,Spectral kurtosis,0.38695676419643993,2.451574221276663,0.024913502827639118,0.8745827853423096
Progressive house,Spectral rolloff,0.33170171469677207,3.99548359800206,0.006892181866152217,0.9338363002291945
Progressive house,Spectral skewness,-0.3156486560196067,4.134052948241885,0.005829829045260696,0.9391380086227148
Progressive house,Spectral spread,0.6342236969505034,2.0090600139074897,0.09965500370720881,0.752244036481555
Progressive house,Zerocr,0.032463035630455,4.348658477865589,5.572725529751225e-05,0.9940437920135838
Progressive house,Mfcc1,-0.19788238240170616,3.1230905203395736,0.00401462621917509,0.9494789801153769
Progressive house,Mfcc2,-0.25798956003788465,2.5550255175466194,0.010195623274579861,0.9195715925981891
Progressive house,Mfcc3,-0.05982806206778865,1.6094269217225443,0.0013818705062522566,0.9703466528829204
Progressive house,Mfcc4,-0.31652542219866714,1.0448043822666155,0.09177982440596295,0.7619265550647885
Progressive house,Mfcc5,-0.5206072100976539,1.0207708397620388,0.2601140713753739,0.6100417970803119
Progressive house,Onset rate,0.24031203904553075,0.7219230900170182,0.11080750899091658,0.7392266646417531
Progressive house,Chords changes rate,-0.9994594576844723,0.7515761986353121,1.7684155605506364,0.183578287502664
Progressive house,Chords number rate,0.22326331074715086,0.6875937924737234,0.10543160710947927,0.7454063663861271
Progressive house,Key scale,0.09920138427921958,0.5021157195511076,0.039032631284827826,0.84338403068873
Progressive house,Pulse clarity low,-0.42277840106890613,1.2924558267446016,0.10700255953394801,0.7435828303235741
Progressive house,Pulse clarity middle,-0.3451596075349041,0.9024910097855428,0.14626963050121208,0.7021260308454831
Progressive house,Pulse clarity high,0.013555654566410294,1.2669811710906131,0.0001144723675556869,0.9914634555052327
Progressive house,Attack slope low,0.031807375765904325,0.935855871616621,0.0011551482916864046,0.9728871403718505
Progressive house,Attack slope middle,0.17474568173967064,1.695264806199545,0.010625217099888945,0.9179005148798547
Progressive house,Attack slope high,-0.7337011751785585,1.847018304100827,0.15779601477659405,0.6911938316937702
Progressive house,Spectral flatness low,-0.15040530070755706,4.148490550659923,0.0013144560636480734,0.9710786898114667
Progressive house,Spectral flatness middle,-0.6079859925476223,3.0018513833848743,0.04102123892087668,0.8394969309896423
Progressive house,Spectral flatness high,-0.17512696253658405,0.7558181894703425,0.05368727382199551,0.8167670356614469
Progressive house,Attack time low,-0.3970725609207252,0.9077383165202533,0.19134557268755215,0.6617990607995194
Progressive house,Attack time middle,-0.07436121995135106,1.4362380436411242,0.002680650281945241,0.9587079785762289
Progressive house,Attack time high,-0.003535434547969159,0.8212772630119624,1.853130499149978e-05,0.9965652769701229
